,player_height
0,198.12
1,215.9
2,205.74
3,203.2
4,205.74
5,200.66
6,198.12
7,213.36
8,193.04
9,182.88
10,182.88
11,213.36
12,195.58
13,190.5
14,210.82
15,210.82
16,213.36
17,185.42
18,200.66
19,190.5
20,203.2
21,210.82
22,190.5
23,210.82
24,200.66
25,213.36
26,198.12
27,190.5
28,190.5
29,203.2
30,185.42
31,193.04
32,205.74
33,210.82
34,208.28
35,205.74
36,208.28
37,200.66
38,193.04
39,200.66
40,205.74
41,210.82
42,203.2
43,208.28
44,203.2
45,203.2
46,177.8
47,195.58
48,200.66
49,203.2
50,205.74
51,198.12
52,218.44
53,195.58
54,213.36
55,185.42
56,210.82
57,210.82
58,187.96
59,195.58
60,208.28
61,195.58
62,208.28
63,208.28
64,203.2
65,203.2
66,187.96
67,198.12
68,203.2
69,200.66
70,198.12
71,203.2
72,193.04
73,200.66
74,205.74
75,195.58
76,193.04
77,193.04
78,210.82
79,208.28
80,190.5
81,210.82
82,203.2
83,208.28
84,190.5
85,193.04
86,203.2
87,190.5
88,203.2
89,203.2
90,213.36
91,198.12
92,231.14
93,203.2
94,205.74
95,200.66
96,205.74
97,208.28
98,185.42
99,215.9
100,210.82
101,193.04
102,198.12
103,218.44
104,213.36
105,205.74
106,187.96
107,203.2
108,187.96
109,210.82
110,205.74
111,203.2
112,180.34
113,187.96
114,205.74
115,205.74
116,213.36
117,213.36
118,205.74
119,187.96
120,210.82
121,193.04
122,203.2
123,195.58
124,182.88
125,195.58
126,210.82
127,198.12
128,185.42
129,208.28
130,210.82
131,203.2
132,205.74
133,198.12
134,220.98
135,205.74
136,205.74
137,203.2
138,205.74
139,195.58
140,205.74
141,210.82
142,205.74
143,203.2
144,205.74
145,187.96
146,198.12
147,182.88
148,208.28
149,193.04
150,213.36
151,208.28
152,210.82
153,200.66
154,187.96
155,203.2
156,205.74
157,193.04
158,205.74
159,205.74
160,205.74
161,210.82
162,210.82
163,200.66
164,213.36
165,195.58
166,208.28
167,210.82
168,200.66
169,208.28
170,200.66
171,185.42
172,198.12
173,195.58
174,210.82
175,200.66
176,177.8
177,200.66
178,198.12
179,180.34
180,208.28
181,208.28
182,185.42
183,180.34
184,200.66
185,200.66
186,215.9
187,205.74
188,185.42
189,195.58
190,210.82
191,193.04
192,203.2
193,182.88
194,200.66
195,203.2
196,193.04
197,200.66
198,205.74
199,193.04
200,210.82
201,200.66
202,198.12
203,205.74
204,205.74
205,210.82
206,208.28
207,210.82
208,198.12
209,190.5
210,210.82
211,208.28
212,200.66
213,200.66
214,203.2
215,200.66
216,195.58
217,208.28
218,187.96
219,200.66
220,193.04
221,198.12
222,187.96
223,190.5
224,200.66
225,200.66
226,205.74
227,205.74
228,195.58
229,198.12
230,180.34
231,200.66
232,208.28
233,190.5
234,200.66
235,208.28
236,187.96
237,198.12
238,182.88
239,215.9
240,205.74
241,210.82
242,228.6
243,208.28
244,205.74
245,210.82
246,203.2
247,185.42
248,208.28
249,198.12
250,187.96
251,187.96
252,193.04
253,210.82
254,195.58
255,205.74
256,187.96
257,193.04
258,200.66
259,200.66
260,201.0
261,210.82
262,193.04
263,210.82
264,200.66
265,208.28
266,193.04
267,223.52
268,208.28
269,187.96
270,215.9
271,210.82
272,190.5
273,200.66
274,193.04
275,203.2
276,203.2
277,213.36
278,193.04
279,200.66
280,180.34
281,213.36
282,198.12
283,205.74
284,177.8
285,193.04
286,210.82
287,198.12
288,193.04
289,193.04
290,208.28
291,193.04
292,203.2
293,208.28
294,205.74
295,198.12
296,213.36
297,203.2
298,203.2
299,200.66
300,213.36
301,213.36
302,215.9
303,210.82
304,205.74
305,187.96
306,205.74
307,187.96
308,213.36
309,190.5
310,190.5
311,205.74
312,203.2
313,187.96
314,218.44
315,180.34
316,205.74
317,198.12
318,193.04
319,190.5
320,208.28
321,182.88
322,208.28
323,193.04
324,198.12
325,210.82
326,208.28
327,208.28
328,205.74
329,210.82
330,208.28
331,223.52
332,187.96
333,185.42
334,213.36
335,190.5
336,195.58
337,210.82
338,185.42
339,213.36
340,213.36
341,190.5
342,200.66
343,205.74
344,203.2
345,208.28
346,200.66
347,200.66
348,205.74
349,203.2
350,195.58
351,195.58
352,185.42
353,187.96
354,200.66
355,185.42
356,200.66
357,195.58
358,190.5
359,185.42
360,195.58
361,198.12
362,203.2
363,208.28
364,195.58
365,195.58
366,203.2
367,190.5
368,213.36
369,208.28
370,200.66
371,210.82
372,208.28
373,187.96
374,195.58
375,185.42
376,205.74
377,200.66
378,195.58
379,198.12
380,205.74
381,205.74
382,203.2
383,210.82
384,203.2
385,195.58
386,210.82
387,215.9
388,200.66
389,195.58
390,200.66
391,182.88
392,198.12
393,203.2
394,208.28
395,195.58
396,195.58
397,203.2
398,187.96
399,185.42
400,205.74
401,160.02
402,195.58
403,198.12
404,185.42
405,213.36
406,205.74
407,205.74
408,208.28
409,210.82
410,213.36
411,205.74
412,205.74
413,195.58
414,187.96
415,208.28
416,190.5
417,200.66
418,205.74
419,218.44
420,195.58
421,185.42
422,200.66
423,203.2
424,210.82
425,195.58
426,208.28
427,205.74
428,190.5
429,205.74
430,190.5
431,182.88
432,208.28
433,215.9
434,208.28
435,198.12
436,205.74
437,210.82
438,208.28
439,210.82
440,200.66
441,198.12
442,205.74
443,210.82
444,208.28
445,195.58
446,190.5
447,205.74
448,205.74
449,208.28
450,215.9
451,208.28
452,185.42
453,208.28
454,190.5
455,205.74
456,200.66
457,205.74
458,195.58
459,205.74
460,210.82
461,203.2
462,200.66
463,193.04
464,182.88
465,200.66
466,185.42
467,208.28
468,195.58
469,187.96
470,223.52
471,203.2
472,185.42
473,198.12
474,208.28
475,205.74
476,213.36
477,210.82
478,208.28
479,198.12
480,205.74
481,213.36
482,198.12
483,195.58
484,160.02
485,185.42
486,203.2
487,195.58
488,195.58
489,187.96
490,208.28
491,203.2
492,205.74
493,218.44
494,195.58
495,205.74
496,198.12
497,203.2
498,203.2
499,205.74
500,205.74
501,198.12
502,195.58
503,205.74
504,200.66
505,205.74
506,205.74
507,185.42
508,195.58
509,185.42
510,210.82
511,200.66
512,208.28
513,210.82
514,190.5
515,195.58
516,215.9
517,198.12
518,210.82
519,220.98
520,208.28
521,210.82
522,195.58
523,210.82
524,200.66
525,185.42
526,187.96
527,185.42
528,195.58
529,195.58
530,205.74
531,195.58
532,190.5
533,200.66
534,205.74
535,200.66
536,205.74
537,200.66
538,187.96
539,190.5
540,213.36
541,213.36
542,193.04
543,185.42
544,210.82
545,190.5
546,185.42
547,203.2
548,195.58
549,205.74
550,203.2
551,190.5
552,205.74
553,205.74
554,198.12
555,187.96
556,210.82
557,210.82
558,205.74
559,208.28
560,208.28
561,210.82
562,198.12
563,208.28
564,193.04
565,208.28
566,182.88
567,213.36
568,200.66
569,208.28
570,190.5
571,208.28
572,193.04
573,208.28
574,203.2
575,200.66
576,180.34
577,213.36
578,198.12
579,195.58
580,220.98
581,213.36
582,213.36
583,200.66
584,203.2
585,210.82
586,213.36
587,198.12
588,208.28
589,205.74
590,203.2
591,215.9
592,208.28
593,193.04
594,198.12
595,210.82
596,193.04
597,177.8
598,205.74
599,198.12
600,185.42
601,200.66
602,193.04
603,180.34
604,198.12
605,218.44
606,205.74
607,200.66
608,200.66
609,190.5
610,190.5
611,208.28
612,210.82
613,200.66
614,198.12
615,198.12
616,200.66
617,205.74
618,190.5
619,208.28
620,223.52
621,193.04
622,208.28
623,200.66
624,193.04
625,193.04
626,193.04
627,200.66
628,200.66
629,193.04
630,187.96
631,187.96
632,210.82
633,200.66
634,203.2
635,190.5
636,190.5
637,185.42
638,187.96
639,205.74
640,213.36
641,203.2
642,167.64
643,185.42
644,195.58
645,180.34
646,210.82
647,208.28
648,228.6
649,210.82
650,205.74
651,215.9
652,198.12
653,208.28
654,205.74
655,203.2
656,200.66
657,208.28
658,187.96
659,205.74
660,200.66
661,210.82
662,198.12
663,177.8
664,200.66
665,210.82
666,185.42
667,200.66
668,208.28
669,190.5
670,200.66
671,210.82
672,208.28
673,200.66
674,203.2
675,203.2
676,210.82
677,182.88
678,208.28
679,187.96
680,190.5
681,210.82
682,213.36
683,198.12
684,190.5
685,210.82
686,205.74
687,177.8
688,208.28
689,200.66
690,203.2
691,200.66
692,195.58
693,210.82
694,180.34
695,208.28
696,200.66
697,193.04
698,205.74
699,208.28
700,208.28
701,208.28
702,205.74
703,205.74
704,218.44
705,203.2
706,203.2
707,177.8
708,203.2
709,203.2
710,205.74
711,208.28
712,193.04
713,185.42
714,203.2
715,208.28
716,185.42
717,180.34
718,200.66
719,203.2
720,215.9
721,195.58
722,205.74
723,195.58
724,182.88
725,210.82
726,187.96
727,195.58
728,198.12
729,185.42
730,198.12
731,205.74
732,205.74
733,205.74
734,205.74
735,187.96
736,180.34
737,205.74
738,220.98
739,205.74
740,205.74
741,203.2
742,205.74
743,193.04
744,205.74
745,205.74
746,193.04
747,198.12
748,205.74
749,203.2
750,208.28
751,203.2
752,205.74
753,198.12
754,182.88
755,208.28
756,213.36
757,213.36
758,208.28
759,210.82
760,200.66
761,198.12
762,187.96
763,190.5
764,195.58
765,205.74
766,213.36
767,205.74
768,193.04
769,200.66
770,213.36
771,195.58
772,200.66
773,195.58
774,198.12
775,203.2
776,205.74
777,193.04
778,210.82
779,200.66
780,200.66
781,198.12
782,200.66
783,195.58
784,193.04
785,203.2
786,187.96
787,210.82
788,193.04
789,203.2
790,198.12
791,195.58
792,205.74
793,182.88
794,195.58
795,210.82
796,198.12
797,198.12
798,185.42
799,177.8
800,185.42
801,205.74
802,205.74
803,190.5
